CO(GT),PT08.S5(O3),NO2(GT),PT08.S4(NO2),C6H6(GT)
1.9,1090.0,111.0,1771.0,10.5
1.7,932.0,110.0,1648.0,9.0
1.1,639.0,74.0,1486.0,6.3
0.8,467.0,56.0,1285.0,3.5
0.7,476.0,50.0,1339.0,4.0
0.7,490.0,54.0,1294.0,4.2
1.2,669.0,90.0,1488.0,6.9
1.6,800.0,109.0,1537.0,7.9
1.6,791.0,110.0,1609.0,7.9
1.7,849.0,103.0,1685.0,10.3
2.0,934.0,120.0,1695.0,10.5
2.3,1081.0,134.0,1784.0,12.7
2.4,1102.0,137.0,1751.0,11.9
1.7,914.0,99.0,1636.0,9.3
1.2,926.0,78.0,1616.0,7.9
1.0,786.0,63.0,1508.0,5.0
0.6,619.0,41.0,1444.0,3.4
0.5,633.0,-200.0,1464.0,3.2
0.4,634.0,39.0,1438.0,2.7
0.5,722.0,60.0,1447.0,3.1
0.7,717.0,54.0,1552.0,5.0
3.2,1445.0,119.0,2172.0,20.7
5.6,1786.0,159.0,2568.0,32.4
4.6,1791.0,182.0,2199.0,24.2
3.3,1413.0,183.0,1907.0,16.6
2.1,1092.0,144.0,1795.0,13.2
1.9,940.0,118.0,1748.0,12.3
1.9,883.0,106.0,1773.0,12.1
1.6,850.0,97.0,1739.0,11.1
2.0,928.0,129.0,1820.0,13.1
1.8,835.0,130.0,1720.0,11.6
2.9,1157.0,163.0,1905.0,17.7
3.4,1232.0,160.0,2023.0,19.5
3.1,1288.0,140.0,2067.0,19.7
2.5,1143.0,115.0,1912.0,15.1
1.8,1014.0,92.0,1760.0,11.1
1.8,1088.0,99.0,1786.0,11.7
2.0,1092.0,96.0,1790.0,11.7
1.5,1090.0,80.0,1748.0,9.7
0.8,979.0,65.0,1592.0,6.0
0.4,806.0,46.0,1534.0,3.9
0.3,712.0,-200.0,1480.0,2.6
-200.0,853.0,57.0,1519.0,2.8
0.5,816.0,54.0,1504.0,3.0
0.7,934.0,62.0,1634.0,5.4
3.4,1548.0,102.0,2316.0,23.5
5.7,1858.0,140.0,2622.0,33.5
3.2,1410.0,121.0,1963.0,15.5
2.7,1334.0,132.0,1968.0,15.3
2.1,1140.0,122.0,1870.0,12.8
2.8,1111.0,148.0,1955.0,15.2
2.5,1054.0,133.0,1963.0,15.7
2.1,924.0,130.0,1825.0,12.3
2.5,1041.0,141.0,1912.0,15.3
2.7,1282.0,172.0,2040.0,17.6
3.7,1362.0,198.0,2132.0,21.5
3.7,1441.0,181.0,2268.0,23.2
4.6,1559.0,202.0,2332.0,25.6
2.6,1198.0,120.0,1979.0,14.3
2.5,1246.0,115.0,1994.0,14.4
2.3,1192.0,112.0,1929.0,12.6
2.2,1194.0,97.0,1985.0,13.7
2.5,1252.0,100.0,1954.0,13.1
0.9,777.0,47.0,1681.0,6.1
0.8,798.0,44.0,1683.0,5.8
0.7,800.0,-200.0,1586.0,3.7
0.5,728.0,42.0,1558.0,2.6
0.7,953.0,57.0,1656.0,4.6
0.9,1060.0,61.0,1738.0,7.4
2.2,1338.0,106.0,1992.0,15.2
2.8,1622.0,136.0,2039.0,16.7
2.9,1812.0,157.0,2015.0,17.0
2.9,1784.0,171.0,2024.0,18.0
3.0,1509.0,190.0,1920.0,16.1
2.5,1139.0,155.0,1832.0,13.4
2.3,1044.0,139.0,1857.0,14.0
2.1,1015.0,152.0,1810.0,13.4
1.9,825.0,143.0,1675.0,10.4
2.3,1022.0,168.0,1765.0,12.7
4.2,1913.0,226.0,2250.0,24.5
4.9,2043.0,207.0,2485.0,27.8
4.9,1661.0,197.0,2205.0,23.3
3.5,1404.0,158.0,2040.0,17.6
2.5,1233.0,124.0,1936.0,14.5
2.5,1181.0,110.0,1941.0,14.4
2.6,1272.0,112.0,1921.0,14.2
2.3,1190.0,102.0,1874.0,12.9
1.5,982.0,77.0,1800.0,9.9
0.9,805.0,50.0,1607.0,5.1
0.6,654.0,-200.0,1536.0,2.8
0.6,727.0,40.0,1568.0,3.2
0.8,1001.0,66.0,1685.0,5.4
0.9,994.0,60.0,1711.0,6.4
2.4,1322.0,85.0,2090.0,17.1
3.9,1617.0,120.0,2337.0,22.3
2.9,1430.0,134.0,2021.0,14.6
2.7,1357.0,149.0,1942.0,13.3
2.0,994.0,125.0,1805.0,10.5
2.4,1054.0,132.0,1940.0,14.2
2.0,945.0,114.0,1842.0,12.2
1.8,808.0,110.0,1803.0,10.1
1.9,888.0,121.0,1814.0,11.7
1.8,787.0,127.0,1730.0,10.9
2.9,1077.0,157.0,1949.0,17.3
3.3,1106.0,169.0,1986.0,18.0
4.4,1356.0,179.0,2168.0,22.9
3.4,1152.0,149.0,1888.0,16.5
1.9,925.0,111.0,1697.0,10.2
2.1,1059.0,112.0,1779.0,11.6
2.5,1201.0,120.0,1930.0,14.3
2.3,1205.0,105.0,1862.0,13.3
1.7,1103.0,90.0,1733.0,10.0
1.5,1072.0,87.0,1662.0,7.6
0.8,713.0,-200.0,1501.0,3.4
-200.0,737.0,54.0,1513.0,3.3
0.5,740.0,61.0,1500.0,2.9
0.8,770.0,63.0,1629.0,5.6
2.6,1327.0,102.0,2077.0,17.5
4.9,1763.0,149.0,2559.0,29.0
2.9,1477.0,147.0,2052.0,17.0
2.8,1311.0,158.0,1952.0,15.6
1.8,980.0,112.0,1745.0,10.1
1.8,961.0,108.0,1810.0,11.7
1.9,923.0,120.0,1771.0,12.0
1.7,839.0,117.0,1732.0,11.0
1.7,827.0,119.0,1735.0,11.2
1.9,821.0,149.0,1681.0,10.5
2.1,749.0,174.0,1647.0,11.8
2.4,871.0,163.0,1691.0,13.8
3.0,1077.0,161.0,1729.0,17.3
2.8,1175.0,154.0,1688.0,14.2
1.9,1125.0,124.0,1588.0,10.7
2.1,1124.0,122.0,1693.0,12.7
1.8,1064.0,119.0,1643.0,10.1
2.5,1240.0,131.0,1738.0,13.1
1.1,899.0,84.0,1528.0,7.4
0.7,807.0,77.0,1461.0,4.6
0.7,817.0,-200.0,1494.0,4.7
0.4,573.0,41.0,1371.0,2.8
0.7,768.0,68.0,1479.0,4.5
0.7,807.0,69.0,1530.0,5.9
1.8,1204.0,101.0,1743.0,11.1
2.3,1401.0,120.0,1885.0,14.4
1.9,1256.0,124.0,1725.0,11.1
1.7,999.0,113.0,1669.0,9.9
1.3,712.0,97.0,1536.0,8.8
1.5,712.0,94.0,1550.0,9.9
1.3,614.0,86.0,1436.0,7.4
0.8,554.0,70.0,1426.0,6.1
0.8,722.0,70.0,1391.0,6.2
1.1,636.0,82.0,1479.0,7.1
1.2,664.0,93.0,1524.0,8.0
1.2,624.0,89.0,1454.0,7.3
1.4,659.0,90.0,1484.0,8.7
1.1,695.0,67.0,1537.0,7.5
1.5,920.0,94.0,1658.0,9.0
2.0,1150.0,109.0,1726.0,11.6
1.9,1141.0,103.0,1710.0,10.2
2.2,1227.0,101.0,1840.0,12.3
1.1,887.0,71.0,1585.0,6.4
1.1,987.0,71.0,1639.0,7.2
0.8,903.0,-200.0,1613.0,6.1
0.6,780.0,49.0,1550.0,4.3
0.6,767.0,43.0,1528.0,3.8
0.6,780.0,44.0,1559.0,4.0
0.6,698.0,42.0,1573.0,4.2
1.1,821.0,69.0,1669.0,6.1
1.0,772.0,65.0,1634.0,6.0
1.0,690.0,68.0,1606.0,5.9
1.0,586.0,58.0,1543.0,5.4
0.8,523.0,52.0,1459.0,4.9
0.7,488.0,46.0,1394.0,3.9
0.4,427.0,40.0,1270.0,3.2
0.5,468.0,47.0,1307.0,4.1
0.6,489.0,56.0,1331.0,4.0
0.7,515.0,64.0,1298.0,4.8
0.9,562.0,71.0,1310.0,5.5
1.6,776.0,103.0,1541.0,9.1
1.6,833.0,97.0,1541.0,9.1
1.7,1023.0,108.0,1631.0,10.1
1.3,967.0,87.0,1580.0,7.4
1.9,1089.0,104.0,1656.0,9.9
1.5,1103.0,93.0,1635.0,9.0
0.6,734.0,55.0,1412.0,3.7
0.4,671.0,49.0,1405.0,3.0
0.3,696.0,-200.0,1400.0,2.5
-200.0,729.0,56.0,1422.0,2.6
0.4,641.0,43.0,1387.0,2.4
0.7,825.0,57.0,1521.0,5.6
2.0,1179.0,80.0,1815.0,14.3
3.9,1651.0,134.0,2311.0,27.7
3.6,1474.0,157.0,1901.0,19.1
3.2,1370.0,175.0,1779.0,15.9
2.2,1141.0,147.0,1638.0,12.3
2.2,1076.0,140.0,1633.0,12.2
2.1,1036.0,137.0,1641.0,11.7
1.8,881.0,123.0,1580.0,10.4
2.0,960.0,138.0,1671.0,12.7
1.8,883.0,132.0,1624.0,11.1
3.0,1221.0,174.0,1942.0,19.0
4.3,1518.0,203.0,2072.0,24.1
3.5,1264.0,176.0,1906.0,19.1
2.5,1061.0,125.0,1768.0,13.6
1.8,947.0,98.0,1684.0,10.7
1.9,1059.0,103.0,1757.0,11.3
1.9,1030.0,104.0,1674.0,9.6
1.9,1065.0,105.0,1694.0,9.8
0.9,893.0,75.0,1497.0,4.9
0.7,837.0,60.0,1510.0,4.1
0.6,807.0,-200.0,1477.0,3.3
0.4,596.0,36.0,1410.0,2.2
0.7,884.0,66.0,1540.0,4.6
1.6,1170.0,97.0,1780.0,10.2
3.8,1596.0,115.0,2196.0,23.3
5.1,1873.0,145.0,2460.0,31.0
3.4,1608.0,162.0,1954.0,17.6
2.6,1470.0,147.0,1835.0,14.3
2.2,1275.0,132.0,1818.0,13.7
3.4,1407.0,179.0,1953.0,19.3
3.4,1302.0,174.0,1892.0,19.3
1.8,931.0,132.0,1622.0,11.3
2.0,917.0,151.0,1604.0,12.7
2.4,985.0,168.0,1674.0,15.3
3.8,1265.0,192.0,1845.0,22.5
4.4,2475.0,194.0,1946.0,25.0
3.9,2021.0,155.0,1864.0,21.1
4.0,1834.0,159.0,1975.0,23.8
2.5,1426.0,125.0,1717.0,14.9
2.1,1272.0,108.0,1668.0,12.8
2.4,1490.0,110.0,1737.0,14.3
2.1,1440.0,99.0,1771.0,14.3
1.6,1271.0,95.0,1609.0,9.2
0.8,985.0,69.0,1463.0,5.1
0.5,826.0,-200.0,1377.0,3.0
0.4,754.0,45.0,1362.0,2.6
0.5,853.0,53.0,1432.0,4.0
1.3,1340.0,88.0,1673.0,9.9
4.1,1869.0,136.0,2305.0,27.3
4.1,2021.0,141.0,2275.0,27.9
4.0,1902.0,189.0,2081.0,24.5
2.2,1527.0,166.0,1707.0,14.2
2.0,1260.0,154.0,1623.0,11.9
2.0,1124.0,149.0,1640.0,13.1
2.2,1309.0,142.0,1683.0,15.1
2.2,1283.0,130.0,1629.0,14.1
1.8,1068.0,121.0,1555.0,11.3
1.8,937.0,116.0,1546.0,10.8
3.3,1416.0,177.0,1925.0,21.5
4.3,1611.0,233.0,1903.0,21.8
5.3,1919.0,223.0,2199.0,29.8
4.3,1745.0,184.0,2005.0,22.5
3.6,1837.0,165.0,2017.0,21.8
2.4,1759.0,132.0,1880.0,17.1
2.1,1593.0,122.0,1827.0,15.4
1.2,1357.0,88.0,1627.0,10.2
0.9,1231.0,79.0,1532.0,7.2
0.6,1066.0,60.0,1507.0,5.8
0.5,992.0,-200.0,1443.0,4.2
-200.0,1063.0,60.0,1485.0,5.1
0.6,1204.0,74.0,1503.0,5.4
0.6,1079.0,62.0,1511.0,6.2
2.2,1593.0,115.0,1914.0,16.9
3.2,1745.0,119.0,2082.0,23.2
3.0,1847.0,155.0,1919.0,18.0
2.7,1845.0,162.0,1903.0,17.6
3.2,1886.0,189.0,1934.0,20.3
1.4,1039.0,115.0,1538.0,10.6
1.3,923.0,109.0,1525.0,9.9
1.4,926.0,108.0,1609.0,10.7
2.1,1277.0,145.0,1775.0,16.5
2.4,1301.0,167.0,1807.0,16.9
3.1,1385.0,200.0,1891.0,20.5
3.5,1474.0,178.0,2021.0,19.4
5.1,1948.0,206.0,2371.0,30.0
4.5,1677.0,192.0,2113.0,24.6
2.9,1434.0,137.0,1900.0,16.9
2.6,1424.0,128.0,1834.0,15.8
2.7,1504.0,121.0,1934.0,16.6
3.2,1661.0,136.0,1996.0,19.5
2.3,1714.0,109.0,1905.0,16.6
1.0,1050.0,74.0,1585.0,6.2
0.5,550.0,-200.0,1458.0,2.7
0.4,456.0,40.0,1432.0,2.3
0.6,554.0,61.0,1509.0,3.9
1.0,744.0,83.0,1636.0,7.2
2.9,1280.0,129.0,1989.0,18.1
2.7,1096.0,-200.0,1877.0,15.1
1.8,927.0,115.0,1640.0,9.7
1.8,840.0,130.0,1527.0,9.4
1.7,786.0,137.0,1546.0,9.6
1.5,690.0,116.0,1544.0,9.5
1.7,742.0,129.0,1545.0,9.6
1.3,680.0,117.0,1527.0,9.6
1.5,705.0,138.0,1577.0,10.3
1.5,677.0,139.0,1554.0,10.2
2.3,877.0,180.0,1602.0,14.0
2.2,844.0,162.0,1579.0,14.0
2.8,1006.0,158.0,1738.0,16.6
2.7,987.0,162.0,1672.0,13.6
1.7,868.0,112.0,1614.0,10.2
1.5,861.0,104.0,1648.0,9.5
2.3,1042.0,125.0,1719.0,11.8
2.3,1080.0,127.0,1792.0,13.0
1.5,811.0,95.0,1661.0,9.6
1.0,704.0,70.0,1539.0,6.7
0.5,522.0,-200.0,1405.0,2.9
0.3,484.0,33.0,1406.0,2.6
0.4,580.0,45.0,1475.0,4.0
0.5,668.0,56.0,1471.0,4.3
0.9,835.0,74.0,1551.0,5.9
1.1,739.0,84.0,1572.0,6.8
1.4,763.0,93.0,1612.0,8.8
1.1,614.0,97.0,1511.0,6.7
0.9,566.0,83.0,1473.0,6.4
0.8,508.0,71.0,1416.0,6.0
0.8,509.0,78.0,1409.0,6.0
0.6,457.0,62.0,1323.0,5.0
0.6,438.0,54.0,1323.0,4.4
0.5,427.0,59.0,1303.0,4.4
0.7,453.0,69.0,1328.0,5.5
0.8,479.0,67.0,1363.0,5.8
0.9,500.0,58.0,1387.0,5.3
1.3,647.0,77.0,1559.0,8.0
1.3,728.0,94.0,1551.0,7.2
1.4,820.0,97.0,1588.0,8.0
1.9,946.0,110.0,1682.0,10.4
2.3,1018.0,116.0,1713.0,11.6
1.0,789.0,74.0,1513.0,6.4
0.5,647.0,51.0,1423.0,4.1
1.0,785.0,-200.0,1548.0,6.4
0.4,576.0,40.0,1387.0,2.7
0.3,555.0,36.0,1385.0,2.6
0.2,552.0,35.0,1369.0,2.3
0.4,620.0,48.0,1427.0,3.1
0.3,557.0,38.0,1402.0,3.1
0.6,556.0,54.0,1442.0,4.0
0.6,573.0,57.0,1486.0,4.6
0.6,514.0,54.0,1380.0,3.9
0.5,478.0,46.0,1371.0,3.8
0.4,424.0,36.0,1321.0,2.8
0.2,386.0,19.0,1272.0,2.5
0.4,403.0,34.0,1282.0,3.0
0.6,462.0,63.0,1327.0,4.7
0.9,489.0,86.0,1359.0,5.0
0.7,463.0,65.0,1347.0,4.5
1.2,585.0,101.0,1467.0,7.7
1.6,748.0,116.0,1565.0,9.7
1.8,940.0,124.0,1651.0,11.0
2.4,1022.0,136.0,1700.0,11.8
1.5,929.0,108.0,1615.0,8.7
0.9,834.0,82.0,1550.0,7.5
0.8,751.0,68.0,1478.0,5.7
0.2,505.0,22.0,1323.0,2.0
0.1,486.0,-200.0,1303.0,1.4
-200.0,501.0,34.0,1331.0,1.8
0.5,628.0,43.0,1423.0,3.3
1.4,1043.0,84.0,1671.0,9.4
3.3,1463.0,108.0,2085.0,21.1
3.6,1358.0,112.0,1945.0,17.2
1.7,971.0,104.0,1586.0,8.5
1.5,894.0,107.0,1496.0,6.8
1.6,871.0,102.0,1525.0,7.4
2.1,952.0,104.0,1690.0,12.1
2.1,843.0,96.0,1592.0,9.6
1.6,750.0,80.0,1550.0,7.4
1.3,710.0,72.0,1514.0,6.4
1.6,814.0,106.0,1551.0,8.3
3.1,1052.0,119.0,1762.0,14.0
3.3,1060.0,119.0,1782.0,15.3
3.4,1153.0,128.0,1797.0,15.4
2.8,986.0,112.0,1625.0,10.9
1.5,781.0,95.0,1488.0,7.5
1.3,653.0,85.0,1414.0,5.2
1.6,777.0,101.0,1493.0,7.1
1.5,1015.0,94.0,1563.0,7.6
1.0,922.0,76.0,1476.0,5.0
0.5,678.0,50.0,1353.0,2.0
0.4,584.0,-200.0,1315.0,1.5
0.6,725.0,51.0,1372.0,2.5
0.7,688.0,42.0,1365.0,3.3
1.3,887.0,62.0,1528.0,7.3
4.0,1494.0,111.0,2120.0,23.8
5.0,1647.0,129.0,2245.0,27.6
3.6,1489.0,135.0,1821.0,16.7
2.8,1361.0,139.0,1656.0,14.3
2.6,1224.0,134.0,1629.0,13.3
2.7,1174.0,141.0,1619.0,14.5
2.3,901.0,112.0,1469.0,11.5
2.0,794.0,105.0,1448.0,10.8
1.3,577.0,72.0,1339.0,6.4
1.7,776.0,90.0,1460.0,8.8
2.8,982.0,126.0,1635.0,14.3
3.8,1256.0,154.0,1840.0,19.4
4.9,1483.0,173.0,2092.0,27.1
4.3,1390.0,162.0,1884.0,19.7
2.6,1195.0,128.0,1666.0,13.6
2.4,1135.0,120.0,1592.0,12.1
1.9,1115.0,111.0,1585.0,11.0
1.4,1026.0,89.0,1522.0,8.8
1.1,836.0,69.0,1448.0,6.7
0.9,925.0,70.0,1469.0,6.3
0.7,933.0,-200.0,1380.0,4.1
0.5,781.0,59.0,1334.0,2.9
0.8,959.0,73.0,1444.0,5.0
1.3,1155.0,89.0,1616.0,9.9
4.7,1686.0,142.0,2194.0,27.5
4.6,1791.0,145.0,2357.0,30.4
3.7,1643.0,156.0,1913.0,19.8
2.8,1360.0,148.0,1717.0,15.7
1.8,944.0,122.0,1523.0,11.3
1.9,905.0,106.0,1547.0,12.6
2.0,884.0,106.0,1525.0,11.9
2.0,968.0,127.0,1612.0,14.4
2.1,929.0,113.0,1539.0,12.4
2.1,936.0,136.0,1496.0,11.7
3.2,1107.0,153.0,1729.0,18.4
4.0,1225.0,172.0,1795.0,22.9
4.6,1372.0,190.0,1901.0,25.0
3.0,1139.0,160.0,1705.0,15.5
2.9,1505.0,159.0,1753.0,16.7
1.9,1074.0,123.0,1552.0,11.2
1.4,868.0,101.0,1488.0,9.0
2.1,1095.0,116.0,1631.0,12.1
1.2,989.0,80.0,1566.0,8.9
0.6,658.0,51.0,1355.0,3.7
0.4,603.0,-200.0,1332.0,3.1
-200.0,562.0,37.0,1303.0,2.5
0.4,618.0,46.0,1342.0,3.1
0.7,747.0,64.0,1454.0,5.7
2.3,1229.0,108.0,1827.0,15.6
4.0,1494.0,151.0,2239.0,25.2
2.8,1281.0,153.0,1927.0,15.4
1.6,954.0,116.0,1665.0,8.4
1.6,810.0,116.0,1563.0,8.0
2.0,882.0,130.0,1677.0,12.1
2.0,840.0,131.0,1619.0,12.6
1.7,743.0,131.0,1554.0,10.6
2.0,880.0,135.0,1646.0,12.6
2.2,928.0,152.0,1694.0,14.3
3.2,1218.0,198.0,1886.0,20.3
3.6,1170.0,183.0,1845.0,20.5
3.8,1620.0,175.0,1879.0,22.1
4.8,1508.0,193.0,1940.0,23.8
2.8,1318.0,140.0,1699.0,14.7
2.6,1189.0,128.0,1730.0,15.1
1.9,1000.0,100.0,1589.0,10.8
1.7,1020.0,97.0,1572.0,10.2
1.0,767.0,67.0,1440.0,6.5
0.7,674.0,58.0,1360.0,3.9
0.5,588.0,-200.0,1319.0,2.8
0.4,545.0,45.0,1291.0,2.1
0.6,685.0,62.0,1379.0,3.4
0.7,702.0,59.0,1384.0,4.7
2.4,1188.0,102.0,1819.0,15.8
4.4,1589.0,154.0,2276.0,26.6
3.1,1331.0,157.0,1860.0,14.8
2.0,1040.0,138.0,1593.0,9.3
2.1,1137.0,142.0,1701.0,12.0
2.1,851.0,125.0,1548.0,10.9
2.1,782.0,120.0,1578.0,11.9
2.2,908.0,150.0,1606.0,13.2
1.6,806.0,120.0,1473.0,8.9
2.4,985.0,173.0,1648.0,13.0
3.3,1211.0,187.0,1782.0,18.2
4.0,1411.0,206.0,1914.0,23.7
4.1,1395.0,187.0,1881.0,21.6
4.2,1578.0,170.0,1937.0,21.6
2.9,1325.0,149.0,1762.0,16.5
2.3,1185.0,124.0,1629.0,12.3
2.2,1235.0,119.0,1686.0,13.6
2.1,1317.0,108.0,1673.0,12.8
1.6,1114.0,93.0,1581.0,9.4
1.2,1015.0,77.0,1552.0,8.3
1.2,1015.0,-200.0,1489.0,6.7
0.9,961.0,76.0,1415.0,4.6
0.6,796.0,58.0,1367.0,3.6
0.7,826.0,63.0,1430.0,5.0
1.3,1057.0,75.0,1546.0,8.2
2.0,1302.0,111.0,1628.0,10.7
1.9,1284.0,116.0,1633.0,10.3
2.2,1348.0,138.0,1675.0,12.9
1.9,1025.0,117.0,1543.0,11.0
1.5,759.0,94.0,1428.0,8.3
1.4,680.0,91.0,1427.0,8.2
1.0,516.0,60.0,1308.0,5.2
1.0,500.0,66.0,1282.0,4.6
1.4,700.0,87.0,1435.0,7.2
1.6,1360.0,106.0,1512.0,9.4
1.6,722.0,94.0,1464.0,8.0
2.1,842.0,112.0,1524.0,10.7
2.0,879.0,120.0,1496.0,9.6
1.9,836.0,106.0,1475.0,8.7
2.3,1062.0,112.0,1611.0,11.6
2.4,1188.0,120.0,1644.0,11.8
2.2,1236.0,114.0,1591.0,10.5
1.2,853.0,70.0,1422.0,5.5
1.1,875.0,64.0,1447.0,5.5
0.8,704.0,-200.0,1381.0,3.8
-200.0,666.0,55.0,1338.0,2.9
0.6,679.0,50.0,1355.0,3.4
0.7,877.0,62.0,1415.0,4.1
0.4,826.0,53.0,1395.0,4.1
0.6,881.0,85.0,1417.0,4.7
0.9,1110.0,102.0,1519.0,7.1
0.9,927.0,97.0,1481.0,7.4
0.8,665.0,91.0,1407.0,7.3
0.4,474.0,62.0,1263.0,4.2
0.3,459.0,57.0,1252.0,4.1
0.1,437.0,40.0,1234.0,3.8
0.5,607.0,60.0,1383.0,5.8
0.4,620.0,70.0,1356.0,5.6
0.3,551.0,53.0,1325.0,4.8
0.4,532.0,54.0,1374.0,5.3
0.6,578.0,58.0,1399.0,6.1
0.8,721.0,73.0,1464.0,7.4
1.2,912.0,99.0,1520.0,9.0
1.6,1155.0,102.0,1635.0,11.7
1.2,1279.0,101.0,1628.0,11.0
0.5,1018.0,77.0,1448.0,6.0
0.3,842.0,55.0,1393.0,4.3
0.1,740.0,51.0,1343.0,2.8
-200.0,625.0,-200.0,1317.0,2.3
0.1,739.0,50.0,1374.0,2.9
0.3,970.0,75.0,1455.0,4.1
0.8,1177.0,89.0,1604.0,8.3
2.3,1518.0,112.0,1906.0,16.6
3.4,1811.0,142.0,2234.0,25.6
2.5,1696.0,145.0,1924.0,17.7
2.4,1603.0,165.0,1842.0,16.2
2.1,1370.0,159.0,1732.0,15.1
-200.0,1194.0,159.0,1678.0,14.3
-200.0,880.0,131.0,1534.0,10.8
-200.0,748.0,123.0,1523.0,10.1
-200.0,868.0,129.0,1523.0,10.9
-200.0,959.0,126.0,1533.0,11.0
-200.0,1160.0,149.0,1781.0,16.8
-200.0,1453.0,200.0,1911.0,20.7
-200.0,1400.0,174.0,1863.0,19.5
-200.0,1265.0,131.0,1737.0,14.6
-200.0,1366.0,135.0,1761.0,14.3
-200.0,1593.0,134.0,1820.0,15.9
-200.0,1336.0,96.0,1619.0,10.3
-200.0,1317.0,94.0,1576.0,8.8
-200.0,1173.0,79.0,1531.0,6.8
-200.0,1163.0,79.0,1513.0,6.3
-200.0,1012.0,-200.0,1440.0,3.9
-200.0,1164.0,89.0,1481.0,4.1
-200.0,1090.0,69.0,1493.0,4.7
-200.0,1338.0,91.0,1716.0,9.9
-200.0,1808.0,135.0,2257.0,24.8
-200.0,2176.0,166.0,2643.0,37.3
-200.0,2028.0,189.0,2238.0,26.2
-200.0,1758.0,193.0,2002.0,21.6
-200.0,1350.0,164.0,1747.0,16.1
-200.0,1060.0,139.0,1632.0,13.0
-200.0,954.0,130.0,1615.0,13.4
-200.0,1024.0,129.0,1615.0,13.7
-200.0,1092.0,132.0,1625.0,14.0
-200.0,927.0,101.0,1544.0,10.4
-200.0,1274.0,145.0,1796.0,17.5
-200.0,978.0,133.0,1662.0,12.9
-200.0,1050.0,110.0,1753.0,14.9
-200.0,1301.0,126.0,1793.0,15.5
-200.0,1141.0,102.0,1644.0,11.2
-200.0,1252.0,104.0,1782.0,14.3
-200.0,1300.0,112.0,1799.0,14.2
-200.0,1193.0,89.0,1683.0,10.0
-200.0,1081.0,67.0,1574.0,7.6
-200.0,1094.0,63.0,1545.0,5.8
-200.0,917.0,-200.0,1440.0,3.1
-200.0,727.0,34.0,1421.0,2.7
-200.0,1116.0,73.0,1562.0,5.4
-200.0,1223.0,76.0,1634.0,7.3
-200.0,1556.0,102.0,1999.0,18.4
-200.0,1904.0,140.0,2405.0,27.7
-200.0,1697.0,150.0,1951.0,16.9
-200.0,1854.0,194.0,2063.0,22.1
-200.0,1306.0,162.0,1770.0,17.0
-200.0,980.0,138.0,1571.0,12.4
-200.0,870.0,123.0,1561.0,11.5
-200.0,613.0,86.0,1421.0,7.5
-200.0,819.0,107.0,1537.0,10.3
-200.0,868.0,106.0,1532.0,10.2
-200.0,876.0,99.0,1576.0,11.5
4.1,1153.0,140.0,1813.0,17.0
3.8,1492.0,163.0,1998.0,21.5
3.4,1382.0,144.0,1914.0,18.6
2.9,1303.0,120.0,1837.0,15.3
3.1,1404.0,120.0,1917.0,17.0
3.5,1308.0,106.0,1839.0,14.4
2.4,1320.0,95.0,1866.0,13.6
1.6,1179.0,70.0,1719.0,9.6
1.3,1160.0,67.0,1580.0,6.4
0.9,1070.0,-200.0,1545.0,4.8
1.0,1181.0,70.0,1595.0,5.4
0.8,1010.0,50.0,1527.0,4.1
1.1,1075.0,60.0,1627.0,6.3
4.4,1839.0,127.0,2388.0,26.9
-200.0,2105.0,149.0,2662.0,35.6
-200.0,1826.0,158.0,2003.0,17.5
3.3,1834.0,190.0,2031.0,19.9
2.1,1268.0,127.0,1735.0,12.6
2.1,1422.0,130.0,1742.0,14.0
2.0,1028.0,125.0,1624.0,12.2
1.5,929.0,113.0,1559.0,11.1
2.1,1150.0,143.0,1654.0,14.3
2.3,1235.0,157.0,1686.0,15.1
2.8,1315.0,170.0,1813.0,18.6
3.6,1469.0,187.0,1990.0,22.0
4.0,1515.0,181.0,2017.0,23.0
3.7,1510.0,158.0,1996.0,21.1
2.5,1327.0,112.0,1849.0,15.0
2.3,1318.0,100.0,1838.0,13.6
2.5,1436.0,105.0,1887.0,14.6
2.7,1608.0,107.0,1917.0,16.3
1.3,1257.0,72.0,1658.0,8.8
0.8,1094.0,59.0,1544.0,6.0
0.9,1066.0,-200.0,1564.0,5.5
0.5,1022.0,55.0,1500.0,3.9
0.8,1139.0,70.0,1597.0,5.8
1.0,1158.0,59.0,1707.0,8.2
2.9,1602.0,95.0,2116.0,20.1
3.8,1770.0,120.0,2283.0,25.5
3.5,1651.0,133.0,2141.0,21.6
2.4,1435.0,133.0,1925.0,15.5
1.8,1159.0,120.0,1670.0,11.2
2.1,1193.0,132.0,1784.0,15.4
2.1,1094.0,135.0,1696.0,14.6
1.5,912.0,121.0,1621.0,12.5
1.5,908.0,123.0,1622.0,12.3
1.8,1010.0,129.0,1638.0,13.2
2.1,1020.0,129.0,1746.0,14.7
3.0,1280.0,156.0,1990.0,19.9
2.8,1287.0,131.0,1971.0,19.1
2.5,1216.0,115.0,1832.0,14.8
1.4,990.0,79.0,1634.0,8.6
1.7,1146.0,86.0,1744.0,11.0
1.8,1273.0,91.0,1831.0,13.0
2.4,1346.0,99.0,1897.0,15.2
1.9,1353.0,83.0,1785.0,12.1
1.4,1231.0,74.0,1748.0,9.9
0.8,1002.0,-200.0,1599.0,6.0
0.7,1126.0,64.0,1602.0,6.3
0.8,995.0,61.0,1597.0,5.5
